,,, pm25, pm25, pm25
,,,min,max,mean
date,date,City,,,
2018,3,Gwanak-Gu,25.0,174.0,100.19354838709677
2018,3,Jeongnim-Dong,25.0,140.0,75.93548387096774
2018,3,Jungang-Way,21.0,161.0,86.7741935483871
2018,3,Juwol-Dong,24.0,168.0,88.58064516129032
2018,3,Nowon-Gu,24.0,167.0,87.93548387096774
2018,3,Pado-Ri,,,
2018,3,Paju,24.0,174.0,95.8
2018,3,Sangjusi,18.0,151.0,73.41935483870968
2018,3,Seolseong-Myeon,,,
2018,3,Seonggeoeup,19.0,182.0,101.29032258064517
2018,4,Bangsan-Myeon,,,
2018,4,Geumchon-Dong,14.0,145.0,81.5
2018,4,Gwanak-Gu,22.0,155.0,84.63333333333334
2018,4,Jeongnim-Dong,18.0,98.0,62.766666666666666
2018,4,Jungang-Way,16.0,138.0,73.93333333333334
2018,4,Juwol-Dong,31.0,130.0,81.56666666666666
2018,4,Nowon-Gu,15.0,131.0,71.46666666666667
2018,4,Pado-Ri,,,
2018,4,Paju,30.0,130.0,77.66666666666667
2018,4,Sangjusi,19.0,91.0,59.89655172413793
2018,4,Seolseong-Myeon,,,
2018,4,Seonggeoeup,10.0,145.0,72.83333333333333
2018,5,Bangsan-Myeon,,,
2018,5,Geumchon-Dong,19.0,122.0,67.19354838709677
2018,5,Gwanak-Gu,26.0,158.0,81.70967741935483
2018,5,Jeongnim-Dong,18.0,90.0,55.03225806451613
2018,5,Jungang-Way,14.0,141.0,68.25806451612904
2018,5,Juwol-Dong,41.0,123.0,73.58064516129032
2018,5,Nowon-Gu,15.0,124.0,59.87096774193548
2018,5,Pado-Ri,27.0,88.0,58.294117647058826
2018,5,Paju,22.0,120.0,67.6774193548387
2018,5,Sangjusi,6.0,110.0,52.483870967741936
2018,5,Seolseong-Myeon,20.0,114.0,66.3529411764706
2018,5,Seonggeoeup,12.0,131.0,61.096774193548384
2018,6,Bangsan-Myeon,,,
2018,6,Geumchon-Dong,20.0,101.0,66.5
2018,6,Gwanak-Gu,25.0,131.0,86.8
2018,6,Jeongnim-Dong,15.0,86.0,55.93103448275862
2018,6,Jungang-Way,10.0,109.0,65.4
2018,6,Juwol-Dong,12.0,144.0,83.4
2018,6,Nowon-Gu,16.0,99.0,63.93333333333333
2018,6,Pado-Ri,27.0,103.0,68.86666666666666
2018,6,Paju,16.0,94.0,62.5
2018,6,Sangjusi,6.0,101.0,45.5
2018,6,Seolseong-Myeon,25.0,112.0,70.63333333333334
2018,6,Seonggeoeup,13.0,114.0,61.833333333333336
