,,, co, co, co
,,,min,max,mean
date,date,City,,,
2017,12,Seolseong-Myeon,2.0,10.0,4.967741935483871
2018,1,Bangsan-Myeon,2.0,6.0,4.225806451612903
2018,1,Geumchon-Dong,5.0,12.0,8.193548387096774
2018,1,Gwanak-Gu,3.0,13.0,5.483870967741935
2018,1,Jeongnim-Dong,3.0,9.0,6.0
2018,1,Jungang-Way,4.0,46.0,9.451612903225806
2018,1,Juwol-Dong,4.0,15.0,7.064516129032258
2018,1,Nowon-Gu,4.0,14.0,7.612903225806452
2018,1,Pado-Ri,2.0,9.0,3.8620689655172415
2018,1,Paju,3.0,7.0,4.548387096774194
2018,1,Seolseong-Myeon,1.0,11.0,5.451612903225806
2018,2,Bangsan-Myeon,2.0,7.0,4.392857142857143
2018,2,Geumchon-Dong,5.0,14.0,7.535714285714286
2018,2,Gwanak-Gu,1.0,11.0,4.821428571428571
2018,2,Jeongnim-Dong,2.0,10.0,4.892857142857143
2018,2,Jungang-Way,3.0,13.0,7.035714285714286
2018,2,Juwol-Dong,4.0,13.0,6.535714285714286
2018,2,Nowon-Gu,4.0,13.0,6.928571428571429
2018,2,Pado-Ri,2.0,6.0,3.769230769230769
2018,2,Paju,2.0,6.0,4.357142857142857
2018,2,Sangjusi,5.0,7.0,5.8
2018,2,Seolseong-Myeon,1.0,9.0,4.107142857142857
2018,2,Seonggeoeup,6.0,9.0,7.0
2018,3,Bangsan-Myeon,1.0,6.0,3.32
2018,3,Geumchon-Dong,3.0,11.0,6.709677419354839
2018,3,Gwanak-Gu,3.0,10.0,5.709677419354839
2018,3,Jeongnim-Dong,2.0,7.0,4.741935483870968
