,,, no2, no2, no2
,,,min,max,mean
date,date,City,,,
2017,6,Jungang-Way,5.0,13.0,8.5
2017,6,Juwol-Dong,9.0,27.0,17.1
2017,6,Nowon-Gu,10.0,41.0,21.233333333333334
2017,6,Pado-Ri,3.0,16.0,8.1
2017,6,Seolseong-Myeon,7.0,15.0,10.233333333333333
2017,7,Bangsan-Myeon,1.0,3.0,1.5
2017,7,Geumchon-Dong,9.0,19.0,13.090909090909092
2017,7,Gwanak-Gu,11.0,30.0,19.083333333333332
2017,7,Jeongnim-Dong,6.0,10.0,8.25
2017,7,Jungang-Way,5.0,9.0,7.090909090909091
2017,7,Juwol-Dong,6.0,13.0,9.625
2017,7,Nowon-Gu,16.0,26.0,21.625
2017,7,Pado-Ri,1.0,9.0,4.125
2017,7,Seolseong-Myeon,5.0,9.0,6.375
2017,8,Geumchon-Dong,10.0,10.0,10.0
2017,8,Gwanak-Gu,11.0,35.0,21.75
2017,8,Jungang-Way,4.0,9.0,6.0
2017,8,Pado-Ri,3.0,10.0,6.5
2017,8,Seolseong-Myeon,7.0,9.0,8.0
2017,9,Bangsan-Myeon,1.0,4.0,2.5
2017,9,Geumchon-Dong,12.0,23.0,18.875
2017,9,Gwanak-Gu,12.0,33.0,21.25
2017,9,Jeongnim-Dong,7.0,20.0,13.5
2017,9,Jungang-Way,7.0,15.0,11.375
2017,9,Juwol-Dong,13.0,25.0,19.375
2017,9,Nowon-Gu,11.0,38.0,28.625
2017,9,Pado-Ri,4.0,6.0,5.0
2017,9,Paju,2.0,12.0,5.0
2017,9,Seolseong-Myeon,8.0,11.0,9.5
2017,10,Bangsan-Myeon,1.0,8.0,1.967741935483871
2017,10,Geumchon-Dong,7.0,29.0,17.29032258064516
2017,10,Gwanak-Gu,8.0,49.0,24.903225806451612
2017,10,Jeongnim-Dong,6.0,33.0,16.06451612903226
2017,10,Jungang-Way,4.0,25.0,11.67741935483871
2017,10,Juwol-Dong,8.0,42.0,20.225806451612904
2017,10,Nowon-Gu,7.0,45.0,24.612903225806452
2017,10,Pado-Ri,,,
2017,10,Paju,2.0,13.0,3.838709677419355
2017,10,Seolseong-Myeon,6.0,21.0,12.225806451612904
