,,, so2, so2, so2
,,,min,max,mean
date,date,City,,,
2017,9,Seolseong-Myeon,1.0,4.0,2.125
2017,10,Bangsan-Myeon,1.0,2.0,1.6666666666666667
2017,10,Geumchon-Dong,2.0,5.0,3.576923076923077
2017,10,Gwanak-Gu,6.0,11.0,8.357142857142858
2017,10,Jeongnim-Dong,1.0,4.0,2.0689655172413794
2017,10,Jungang-Way,3.0,7.0,4.181818181818182
2017,10,Juwol-Dong,2.0,5.0,3.6296296296296298
2017,10,Nowon-Gu,3.0,7.0,4.653846153846154
2017,10,Pado-Ri,,,
2017,10,Paju,1.0,4.0,2.3846153846153846
2017,10,Seolseong-Myeon,1.0,4.0,2.076923076923077
2017,11,Bangsan-Myeon,1.0,2.0,1.8571428571428572
2017,11,Geumchon-Dong,2.0,9.0,4.344827586206897
2017,11,Gwanak-Gu,7.0,11.0,9.0
2017,11,Jeongnim-Dong,2.0,4.0,2.6785714285714284
2017,11,Jungang-Way,2.0,8.0,5.758620689655173
2017,11,Juwol-Dong,2.0,6.0,4.037037037037037
2017,11,Nowon-Gu,5.0,10.0,7.0
2017,11,Paju,2.0,5.0,3.111111111111111
2017,11,Seolseong-Myeon,1.0,3.0,2.0
2017,12,Bangsan-Myeon,1.0,3.0,2.161290322580645
2017,12,Geumchon-Dong,4.0,9.0,6.225806451612903
2017,12,Gwanak-Gu,7.0,13.0,9.483870967741936
2017,12,Jeongnim-Dong,2.0,5.0,3.3870967741935485
2017,12,Jungang-Way,3.0,9.0,5.258064516129032
2017,12,Juwol-Dong,1.0,7.0,3.967741935483871
2017,12,Nowon-Gu,6.0,12.0,8.161290322580646
2017,12,Pado-Ri,1.0,7.0,2.75
2017,12,Paju,2.0,7.0,3.838709677419355
2017,12,Seolseong-Myeon,1.0,3.0,1.7142857142857142
2018,1,Bangsan-Myeon,2.0,4.0,2.4827586206896552
2018,1,Geumchon-Dong,5.0,9.0,6.483870967741935
2018,1,Gwanak-Gu,8.0,13.0,10.161290322580646
2018,1,Jeongnim-Dong,2.0,6.0,3.6129032258064515
2018,1,Jungang-Way,3.0,8.0,5.193548387096774
2018,1,Juwol-Dong,2.0,6.0,3.838709677419355
2018,1,Nowon-Gu,7.0,12.0,8.709677419354838
2018,1,Pado-Ri,2.0,8.0,3.566666666666667
2018,1,Paju,3.0,6.0,3.935483870967742
2018,1,Seolseong-Myeon,1.0,4.0,2.103448275862069
2018,2,Bangsan-Myeon,2.0,4.0,2.4642857142857144
2018,2,Geumchon-Dong,4.0,11.0,6.642857142857143
2018,2,Gwanak-Gu,5.0,13.0,9.642857142857142
2018,2,Jeongnim-Dong,2.0,8.0,3.8214285714285716
2018,2,Jungang-Way,3.0,9.0,5.333333333333333
2018,2,Juwol-Dong,3.0,7.0,4.222222222222222
2018,2,Nowon-Gu,7.0,16.0,9.464285714285714
2018,2,Pado-Ri,1.0,10.0,2.923076923076923
2018,2,Paju,3.0,6.0,3.892857142857143
2018,2,Sangjusi,7.0,8.0,7.5
2018,2,Seolseong-Myeon,2.0,3.0,2.185185185185185
2018,2,Seonggeoeup,3.0,7.0,5.2
2018,3,Bangsan-Myeon,1.0,3.0,1.8333333333333333
2018,3,Geumchon-Dong,3.0,7.0,4.851851851851852
2018,3,Gwanak-Gu,4.0,10.0,6.571428571428571
2018,3,Jeongnim-Dong,1.0,5.0,2.1538461538461537
